Name Longitude Latitude
Pedicularis_oxycarpa 99.80634 27.61218
Pedicularis_oxycarpa 100.6827 27.57266
Pedicularis_oxycarpa 99.69191 27.51424
Pedicularis_oxycarpa 100.3998 25.4857
Pedicularis_oxycarpa 102.9121 31.00449
Pedicularis_oxycarpa 103.0279 25.42331
Pedicularis_oxycarpa 103.2036 25.8631
Pedicularis_oxycarpa 101.1638 28.19061
Pedicularis_oxycarpa 100.216 27.07448
Pedicularis_oxycarpa 102.5177 27.88149
Pedicularis_oxycarpa 103.0697 27.2098
Pedicularis_oxycarpa 105.2241 26.2998
Pedicularis_oxycarpa 101.5889 27.85651
Pedicularis_oxycarpa 103.2617 26.20191
Pedicularis_oxycarpa 99.59265 27.77893
Pedicularis_oxycarpa 102.8724 31.08722
Pedicularis_oxycarpa 104.3781 25.88672
Pedicularis_davidii 103.2135 29.41442
Pedicularis_davidii 101.9196 29.6833
Pedicularis_davidii 102.7976 31.03132
Pedicularis_davidii 102.7185 31.05355
Pedicularis_davidii 102.4141 30.31917
Pedicularis_davidii 102.3648 30.38118
Pedicularis_davidii 102.3609 30.51075
Pedicularis_davidii 102.6581 30.81643
Pedicularis_davidii 102.5014 30.8532
Pedicularis_davidii 102.9049 30.8767
Pedicularis_davidii 102.0365 29.84703
Pedicularis_davidii 102.9336 31.9384
Pedicularis_davidii 101.5195 30.01251
Pedicularis_davidii 103.6679 32.64619
Pedicularis_davidii 103.2891 34.01847
Pedicularis_davidii 103.6552 31.71588
Pedicularis_davidii 104.3486 32.47366
Pedicularis_davidii 103.8605 32.68016
Pedicularis_davidii 102.3901 31.04997
Pedicularis_davidii 102.8823 30.94128
Pedicularis_davidii 102.6751 31.8507
Pedicularis_davidii 102.4344 30.66373
Pedicularis_davidii 103.9037 31.37916
Pedicularis_davidii 103.1913 34.2319
Pedicularis_tayloriana 94.00082 28.75399
Pedicularis_tayloriana 94.92585 29.47139
Pedicularis_dulongensis 98.50606 27.77928
Pedicularis_elwesii 98.44023 28.44967
Pedicularis_elwesii 97.99809 29.70938
Pedicularis_elwesii 97.22032 31.0652
Pedicularis_elwesii 91.79607 27.86434
Pedicularis_elwesii 94.75071 29.73894
Pedicularis_elwesii 94.85437 29.4855
Pedicularis_elwesii 94.14264 29.16938
Pedicularis_elwesii 97.54114 28.77663
Pedicularis_elwesii 96.37418 29.59493
Pedicularis_elwesii 94.85615 29.95173
Pedicularis_elwesii 96.63215 31.16423
Pedicularis_elwesii 99.82576 28.60716
Pedicularis_elwesii 100.2234 28.67002
Pedicularis_elwesii 100.3773 28.37832
Pedicularis_elwesii 99.66752 29.09344
Pedicularis_elwesii 87.66015 27.95685
Pedicularis_elwesii 97.31939 31.18089
Pedicularis_elwesii 97.22866 31.20151
Pedicularis_elwesii 97.52733 31.27657
Pedicularis_elwesii 86.83714 27.71283
Pedicularis_elwesii 87.31726 27.87905
Pedicularis_elwesii 86.00065 28.01977
Pedicularis_elwesii 96.89797 29.03811
Pedicularis_elwesii 93.666 28.8557
Pedicularis_elwesii 84.78198 28.72512
Pedicularis_elwesii 96.2441 30.86065
Pedicularis_elwesii 85.99455 28.1121
Pedicularis_elwesii 91.4213 29.83615
Pedicularis_elwesii 91.86519 29.199
Pedicularis_elwesii 97.46818 31.21267
Pedicularis_elwesii 95.69313 29.87561
Pedicularis_elwesii 96.82286 29.4225
Pedicularis_elwesii 96.6838 29.8971
Pedicularis_elwesii 100.1572 29.12459
Pedicularis_elwesii 98.99199 28.40261
Pedicularis_elwesii 99.4648 28.31739
Pedicularis_elwesii 97.36622 30.76266
Pedicularis_elwesii 99.77783 28.26176
Pedicularis_elwesii 99.5687 27.78216
Pedicularis_elwesii 99.93922 27.80863
Pedicularis_elwesii 99.70134 27.51015
Pedicularis_elwesii 100.0697 27.30904
Pedicularis_elwesii 100.216 27.1256
Pedicularis_elwesii 92.6026 29.27699
Pedicularis_elwesii 97.87242 30.86304
Pedicularis_axillaris 100.2119 27.03631
Pedicularis_axillaris 100.0769 27.29089
Pedicularis_axillaris 99.95644 27.4177
Pedicularis_axillaris 99.69409 27.50569
Pedicularis_axillaris 99.913 27.62326
